mid,name,rating,director
944,Lost Horizon (1937),3.83,Frank Capra
945,Top Hat (1935),4.06,Mark Sandrich
946,To Be or Not to Be (1942),3.95,Ernst Lubitsch
947,My Man Godfrey (1936),4.06,Gregory La Cava
948,Giant (1956),3.74,George Stevens
949,East of Eden (1955),3.92,Elia Kazan
950,"Thin Man,4.18,W.S. Van Dyke
951,His Girl Friday (1940),4.15,Howard Hawks
952,Around the World in 80 Days (1956),3.48,John Farrow
953,It's a Wonderful Life (1946),4.05,Frank Capra
954,Mr. Smith Goes to Washington (1939),4.00,Frank Popper
66491,Kimberly (1999),2.25,Frederic Golchan
955,Bringing Up Baby (1938),4.05,Howard Hawks
956,Penny Serenade (1941),3.48,George Stevens
957,"Scarlet Letter,3.23,Victor Sjostrom
958,Lady of Burlesque (1943),3.19,William Wellman
959,Of Human Bondage (1934),3.72,John Cromwell
960,Angel on My Shoulder (1946),3.50,Archie Mayo
961,Little Lord Fauntleroy (1936),3.38,John Cromwell
962,They Made Me a Criminal (I Became a Criminal) (They Made Me a Fugitive) (1939),3.41,Busby Berkeley
963,"Inspector General,3.54,Henry Koster
964,Angel and the Badman (1947),3.40,James Edward Grant
965,"39 Steps,4.00,Alfred Hitchcock
966,"Walk in the Sun,3.48,Abbas-Mustan
66503,Rally On! (Ralliraita) (2009),2.35,Markku Polonen
967,"Outlaw,2.78,Howard Hawks
968,Night of the Living Dead (1968),3.60,George A. Romero
969,"African Queen,4.08,John Huston
970,Beat the Devil (1953),3.54,John Huston
971,Cat on a Hot Tin Roof (1958),3.94,Richard Brooks (VI)
66506,Ping Pong Playa (2007),2.77,Jessica Yu
66509,Funny People (2009),3.25,Judd Apatow
972,"Last Time I Saw Paris,3.17,Richard Brooks (VI)
973,Meet John Doe (1941),3.85,Frank Capra
974,Algiers (1938),3.39,John Cromwell
66511,Berlin Calling (2008),3.43,Hannes Stohr
975,Something to Sing About (1937),2.98,Charlie Jordan
976,"Farewell to Arms,3.53,Frank Borzage
66513,Devil Hides in Doubt (Sollbruchstelle) (2008),2.50,
977,Moonlight Murder (1936),2.17,
979,Nothing Personal (1995),3.17,Thaddeus O'Sullivan
980,"Yes,3.11,Corey Yuen
66517,Against the Dark (2009),1.53,Richard Crudo
981,Dangerous Ground (1997),2.63,Darrell Roodt
982,Picnic (1955),3.66,Joshua Logan
983,Madagascar Skin (1995),2.68,Chris Newby
984,"Pompatus of Love,2.70,Richard Schenkman
985,Small Wonders (1995),3.42,Allan Miller
986,Fly Away Home (1996),3.51,Carroll Ballard
987,Bliss (1997),3.21,Lance Young
988,Grace of My Heart (1996),3.35,Allison Anders
989,Brother of Sleep (Schlafes Bruder) (1995),3.45,Joseph Vilsmaier
990,Maximum Risk (1996),2.73,Ringo Lam
991,Michael Collins (1996),3.57,Neil Jordan
992,"Rich Man's Wife,2.74,Amy Holden Jones
993,Infinity (1996),3.50,Matthew Broderick
994,Big Night (1996),4.01,Stanley Tucci
996,Last Man Standing (1996),3.01,Walter Hill
997,Caught (1996),3.55,Robert M. Young
998,Set It Off (1996),3.22,F. Gary Gray
999,2 Days in the Valley (1996),3.29,John Herzfeld
1000,Curdled (1996),3.09,Reb Braddock
66537,"Letter for the King,3.67,Pieter Verhoeff
1001,"Associate,2.79,Rene Gainville
1002,Ed's Next Move (1996),3.53,John Walsh
66539,Firepower (1979),2.25,Michael Winner
1003,Extreme Measures (1996),3.14,Michael Apted
1004,"Glimmer Man,2.69,John Gray
1005,D3: The Mighty Ducks (1996),2.50,Robert Lieberman
1006,"Chamber,3.26,James Foley
1007,"Apple Dumpling Gang,2.94,Norman Tokar
1008,"Davy Crockett,3.32,Norman Foster
1009,Escape to Witch Mountain (1975),3.14,John Hough
66544,Nuremberg (2000),3.59,Yves Simoneau
1010,"Love Bug,3.07,Robert Stevenson
66547,Bigger Than Life (1956),3.62,Nicholas Ray
1011,Herbie Rides Again (1974),2.75,Robert Stevenson
1012,Old Yeller (1957),3.56,Robert Stevenson
66549,Going to Kansas City (1998),2.11,Pekka Mandart
1013,"Parent Trap,3.40,David Swift
1014,Pollyanna (1960),3.36,David Swift (II)
66551,Red Sands (2009),2.30,Alex Turner (II)
1015,Homeward Bound: The Incredible Journey (1993),3.27,Duwayne Dunham
1016,"Shaggy Dog,3.13,Charles Barton
66553,Show Me (2004),3.83,Casandra Nicolaou
1017,Swiss Family Robinson (1960),3.50,Ken Annakin
1018,That Darn Cat! (1965),3.06,Robert Stevenson
1019,"20,3.52,Richard Fleischer
1020,Cool Runnings (1993),3.25,Jon Turteltaub
1021,Angels in the Outfield (1994),2.84,William Dear
1022,Cinderella (1950),3.55,Clyde Geronimi
1023,Winnie the Pooh and the Blustery Day (1968),3.75,
1024,"Three Caballeros,3.18,Norman Ferguson
1025,"Sword in the Stone,3.55,Wolfgang Reitherman
1026,So Dear to My Heart (1949),3.15,Hamilton Luske
1027,Robin Hood: Prince of Thieves (1991),3.28,Kevin Reynolds
1028,Mary Poppins (1964),3.72,Robert Stevenson
1029,Dumbo (1941),3.46,Sam Armstrong
1030,Pete's Dragon (1977),3.09,Don Chaffey
1031,Bedknobs and Broomsticks (1971),3.33,Robert Stevenson
1032,Alice in Wonderland (1951),3.62,Clyde Geronimi
1033,"Fox and the Hound,3.43,Corey Feldman
1034,Freeway (1996),3.54,Matthew Bright
1035,"Sound of Music,3.80,Robert Wise
1036,Die Hard (1988),3.93,John McTiernan
1037,"Lawnmower Man,2.73,Brett Leonard
1038,Unhook the Stars (1996),3.22,Nick Cassavetes
1039,Synthetic Pleasures (1995),3.05,Iara Lee
1040,"Secret Agent,3.39,Christopher Hampton
1041,Secrets & Lies (1996),4.05,Mike Leigh
1042,That Thing You Do! (1996),3.43,Tom Hanks
66579,"Lost,2.64,Bryan Goeres
1043,To Gillian on Her 37th Birthday (1996),3.02,Michael Pressman
1044,Surviving Picasso (1996),3.34,James Ivory
66581,Still Waiting... (2009),2.60,Jeff Balis
1045,Love Is All There Is (1996),3.03,George Pappas
1046,Beautiful Thing (1996),3.99,Hettie MacDonald
1047,"Long Kiss Goodnight,3.42,Renny Harlin
1049,"Ghost and the Darkness,3.41,Stephen Hopkins
66584,Pistol Whipped (2008),2.58,Roel Reine
1050,Looking for Richard (1996),3.77,Al Pacino
1051,Trees Lounge (1996),3.57,Steve Buscemi
66586,Flight of Fury (2007),1.06,
1052,"Proprietor,3.39,Ismail Merchant
1053,Normal Life (1996),3.05,John McNaughton
1054,Get on the Bus (1996),3.49,Spike Lee
1055,Shadow Conspiracy (1997),2.78,Vic Armstrong (II)
66590,"Far Horizons,3.50,Rudolph Mate
1056,Jude (1996),3.46,Michael Winterbottom
1057,Everyone Says I Love You (1996),3.43,Woody Allen
66592,Container (2006),2.86,Lukas Moodysson
1058,Bitter Sugar (Azúcar amarga) (1996),3.29,Leon Ichaso
1059,William Shakespeare's Romeo + Juliet (1996),3.58,Alexandre Tarta
1060,Swingers (1996),3.85,Doug Liman
1061,Sleepers (1996),3.63,Barry Levinson
66596,Mystery Team (2009),3.40,Dan Eckman
1062,"Sunchaser,3.01,Michael Cimino
1063,Johns (1996),3.35,Scott Silver
1064,Aladdin and the King of Thieves (1996),3.10,Tad Stones
1065,Five Angles on Murder (1950),2.92,
1066,Shall We Dance (1937),3.97,Mark Sandrich
1067,"Damsel in Distress,3.40,George Stevens
1068,Crossfire (1947),3.67,Anthony Maharaj
1069,"Murder,3.95,Edward Dmytryk
1070,Macao (1952),3.07,Joseph Von Stern
1071,For the Moment (1994),3.31,Aaron Kim Johnston
1073,Willy Wonka & the Chocolate Factory (1971),3.70,Mel Stuart
1075,"Sexual Life of the Belgians,3.49,Jan Bucquoy
1076,"Innocents,3.82,Jack Clayton
1077,Sleeper (1973),3.85,Woody Allen
1078,Bananas (1971),3.74,Woody Allen
1079,"Fish Called Wanda,3.85,John Cleese
66614,Moordwijven (2007),3.00,Dick Maas
1080,Monty Python's Life of Brian (1979),3.97,Terry Jones
1081,Victor/Victoria (1982),3.51,Matthew Diamond
1082,"Candidate,3.64,Michael Ritchie
1083,"Great Race,3.45,Blake Edwards
66618,"World Without Thieves,3.55,Xiaogang Feng
1084,Bonnie and Clyde (1967),3.86,Arthur Penn
1085,"Old Man and the Sea,3.65,John Sturges
66620,"Gunfight at Dodge City,3.00,Joseph M. Newman
1086,Dial M for Murder (1954),4.03,Alfred Hitchcock
1087,Madame Butterfly (1995),3.43,Frederic Mitterrand
0,His Private Secretary (1933),?,Phil Whitman
1088,Dirty Dancing (1987),3.22,Emile Ardolino
1089,Reservoir Dogs (1992),4.09,Quentin Tarantino
1090,Platoon (1986),3.91,Oliver Stone
1091,Weekend at Bernie's (1989),2.80,Ted Kotcheff
1092,Basic Instinct (1992),3.35,Paul Verhoeven
1093,"Doors,3.36,Oliver Stone
1094,"Crying Game,3.64,Neil Jordan
1095,Glengarry Glen Ross (1992),3.86,James Foley
1096,Sophie's Choice (1982),3.92,Alan J. Pakula
1097,E.T. the Extra-Terrestrial (1982),3.76,Steven Spielberg
1098,"Search for One-eye Jimmy,3.06,Sam Henry Cass
1099,"Christmas Carol,3.82,Edwin L. Marin
1100,Days of Thunder (1990),2.85,Tony Scott
1101,Top Gun (1986),3.41,Tony Scott
1102,American Strays (1996),2.61,Michael Covert
66639,Street Fighter: The Legend of Chun-Li (2009),2.18,Andrzej Bartkowiak
1103,Rebel Without a Cause (1955),3.80,Nicholas Ray
1104,"Streetcar Named Desire,3.96,Elia Kazan
1105,Children of the Corn IV: The Gathering (1996),2.35,Greg Spence
1106,"Leopard Son,2.70,Hugo Van Lawick
1107,Loser (1991),2.48,
1109,Charm's Incidents (Charms Zwischenfälle) (1996),2.82,
1110,Bird of Prey (1996),2.64,Temistocles Lopez
1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),3.97,Claude Nuridsany
1112,Palookaville (1996),3.41,Alan Taylor
1113,"Associate,3.19,Donald Petrie
1114,"Funeral,3.22,Abel Ferrara
1115,Sleepover (1995),2.95,John F. Sullivan
1116,"Single Girl,3.38,Benoit Jacquot
1117,"Eighth Day,3.66,Jaco Van Dormael
66652,Urban Justice (2007),1.60,Don E. FauntLeRoy
1118,North Star (a.k.a. Tashunga) (1995),3.00,Nils Gaup
66655,Tough Enough (Knallhart) (2006),3.50,Detlev Buck
1119,Drunks (1995),3.16,Peter Cohn
1120,"People vs. Larry Flynt,3.56,Milos Forman
1121,Glory Daze (1995),2.87,Rich Wilkes
66659,Tyler Perry's Madea Goes to Jail (2009),2.25,Tyler Perry
1122,Plutonium Circus (1995),2.66,
1123,"Perfect Candidate,3.60,R.J. Cutler
1124,On Golden Pond (1981),3.69,Mark Rydell
1125,"Return of the Pink Panther,3.61,Blake Edwards
1126,Drop Dead Fred (1991),2.67,Ate de Jong
1127,"Abyss,3.66,James Cameron
66662,"Black Watch,3.75,John Ford
66665,Away We Go (2009),3.73,Sam Mendes
1128,"Fog,2.99,John Carpenter
1129,Escape from New York (1981),3.36,John Carpenter
1130,"Howling,3.20,Joe Dante
66667,Hell to Eternity (1960),3.40,Phil Karlson
1131,Jean de Florette (1986),4.14,Claude Berri
1132,Manon of the Spring (Manon des sources) (1986),4.08,Claude Berri
1133,Talking About Sex (1994),3.63,Aaron Speiser
1134,Johnny 100 Pesos (Johnny cien pesos) (1993),3.15,Gustavo Graef Marino
1135,Private Benjamin (1980),3.10,Howard Zieff
1136,Monty Python and the Holy Grail (1975),4.17,Terry Gilliam
1137,Hustler White (1996),3.21,Bruce Labruce
1138,Dadetown (1995),3.41,
1139,Everything Relative (1996),3.14,Sharon Pollack
1140,Entertaining Angels: The Dorothy Day Story (1996),3.60,Michael Ray Rhodes
1141,Last Call (Hoogste tijd) (1995),2.21,
1142,Get Over It (1996),3.07,
1143,Three Lives and Only One Death (Trois vies & une seule mort) (1996),3.41,Raoul Ruiz
1144,"Line King: The Al Hirschfeld Story,3.69,Susan Warms Dryfoos
1145,Snowriders (1996),3.52,
1146,Curtis's Charm (1995),3.19,
1147,When We Were Kings (1996),4.15,Leon Gast
1148,Wallace & Gromit: The Wrong Trousers (1993),4.18,Nick Park
1149,JLG/JLG (JLG/JLG - autoportrait de décembre) (1994),3.13,
1150,"Return of Martin Guerre,3.89,Daniel Vigne
1151,Faust (1994),3.68,Jan Svankmajer
66686,"Unsuspected,3.54,Michael Curtiz
1152,He Walked by Night (1948),3.47,Jack Webb
1153,Raw Deal (1948),3.25,Anthony Mann
1154,T-Men (1947),3.34,Anthony Mann
66691,"Thick as Thieves (a.k.a. Code,2.99,Mimi Leder
1155,"Invitation,2.15,
1156,"Children Are Watching Us,3.28,Vittorio De Sica
1157,"Symphonie pastorale,3.34,Jean Delannoy
1158,Here Comes Cookie (1935),2.91,
1159,Love in Bloom (1935),2.88,Elliott Nugent
1160,Six of a Kind (1934),3.17,Leo McCarey
1161,"Tin Drum,3.80,Volker Schlondorff
1162,"Ruling Class,3.79,Peter Medak
1163,Mina Tannenbaum (1994),3.37,Martine Dugowson
1164,2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her) (1967),3.44,Jean-Luc Godard
66701,Beautiful Ohio (2006),2.50,Chad Lowe
1165,"Bloody Child,3.01,Nina Menkes
1166,Farmer & Chase (1997),3.35,Michael Seitzman
1167,Dear God (1996),2.95,Garry Marshall
1168,Bad Moon (1996),2.51,Eric Red
1169,American Dream (1990),3.85,Barbara Kopple
1170,Best of the Best 3: No Turning Back (1995),2.08,Phillip Rhee
1171,Bob Roberts (1992),3.71,Tim Robbins
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),4.14,Giuseppe Tornatore
1173,"Cook the Thief His Wife & Her Lover,3.43,Peter Greenaway
1174,Dead Tired (Grosse Fatigue) (1994),3.19,Michel Blanc
1175,Delicatessen (1991),3.98,Marc Caro
1176,"Double Life of Veronique,3.89,Krzysztof Kieslowski
1177,Enchanted April (1992),3.86,Mike Newell
1178,Paths of Glory (1957),4.23,Stanley Kubrick
1179,"Grifters,3.72,Stephen Frears
1180,Hear My Song (1991),3.78,Peter Chelsom
1181,"Shooter,3.05,Annette K. Olesen
1183,"English Patient,3.65,Anthony Minghella
66718,"Cry,3.46,Michelangelo Antonioni
1184,Mediterraneo (1991),3.75,Gabriele Salvatores
1185,My Left Foot (1989),3.88,Jim Sheridan
66720,"Big Lift,3.38,George Seaton
1186,"Sex,3.51,Steven Soderbergh
1187,Passion Fish (1992),3.67,John Sayles
1188,Strictly Ballroom (1992),3.80,Pierre Trividic
1189,"Thin Blue Line,4.12,Errol Morris
1190,Tie Me Up! Tie Me Down! (¡�?tame!) (1990),3.51,Pedro Almodovar
1191,Madonna: Truth or Dare (1991),2.89,Alex Keshishian
1192,Paris Is Burning (1990),3.91,Jennie Livingston
1193,One Flew Over the Cuckoo's Nest (1975),4.25,Milos Forman
1194,Cheech and Chong's Up in Smoke (1978),3.43,Lou Adler
1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.18,Irvin Kershner
1197,"Princess Bride,4.17,Rob Reiner
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.21,Steven Spielberg
1199,Brazil (1985),4.03,Terry Gilliam
1200,Aliens (1986),4.01,James Cameron
1201,"Good,4.12,Sergio Leone
1202,Withnail & I (1987),3.85,Bruce Robinson
1203,12 Angry Men (1957),4.22,Sidney Lumet
1204,Lawrence of Arabia (1962),4.13,David Lean
1206,"Clockwork Orange,3.99,
1207,To Kill a Mockingbird (1962),4.19,Robert Mulligan
1208,Apocalypse Now (1979),4.10,Francis Ford Coppola
66744,"Divo,3.44,Paolo Sorrentino
1209,Once Upon a Time in the West (C'era una volta il West) (1968),4.13,Sergio Leone
1210,Star Wars: Episode VI - Return of the Jedi (1983),3.99,Richard Marquand
1211,"Wings of Desire (Himmel über Berlin,4.03,Wim Wenders
1212,"Third Man,4.24,Carol Reed
1213,Goodfellas (1990),4.18,Martin Scorsese
1214,Alien (1979),4.04,Ridley Scott
1215,Army of Darkness (1993),3.71,Sam Raimi
1216,"Big Blue,3.85,Luc Besson
1217,Ran (1985),4.17,Akira Kurosawa
1218,"Killer,4.06,John Woo
1219,Psycho (1960),4.07,Alfred Hitchcock
1220,"Blues Brothers,3.80,John Landis
1221,"Godfather: Part II,4.27,Francis Ford Coppola
1222,Full Metal Jacket (1987),4.03,Francesca Cima
1223,"Grand Day Out with Wallace and Gromit,4.02,Nick Park
66758,Wings (Krylya) (1966),3.86,Larisa Shepitko
1224,Henry V (1989),4.11,Kenneth Branagh
1225,Amadeus (1984),4.07,Milos Forman
1226,"Quiet Man,3.93,John Ford
1227,Once Upon a Time in America (1984),3.95,Sergio Leone
66762,Paris (2008),3.58,Cedric Klapisch
1228,Raging Bull (1980),4.08,Martin Scorsese
1230,Annie Hall (1977),4.06,Woody Allen
1231,"Right Stuff,3.92,Philip Kaufman
1232,Stalker (1979),4.03,Andrei Tarkovsky
1233,"Boot,4.11,Wolfgang Petersen
1234,"Sting,4.16,George Roy Hill
1235,Harold and Maude (1971),3.98,Hal Ashby
1236,Trust (1990),4.04,Hal Hartley
1237,"Seventh Seal,4.10,Ingmar Bergman
1238,Local Hero (1983),3.97,Bill Forsyth
1240,"Terminator,3.90,James Cameron
1241,Dead Alive (Braindead) (1992),3.72,Peter Jackson
1242,Glory (1989),3.94,Edward Zwick
1243,Rosencrantz and Guildenstern Are Dead (1990),3.93,Tom Stoppard
1244,Manhattan (1979),4.04,Woody Allen
1245,Miller's Crossing (1990),3.97,Ethan Coen
1246,Dead Poets Society (1989),3.89,Peter Weir
66783,Friday the 13th (2009),2.59,Marcus Nispel
1247,"Graduate,4.07,Mike Nichol
1248,Touch of Evil (1958),4.18,James A. Contner
66785,"Good,3.64,Ji-woon Kim
1249,"Femme Nikita,3.85,Luc Besson
1250,"Bridge on the River Kwai,4.09,David Lean
1251,8 1/2 (8½) (1963),4.05,Federico Fellini
1252,Chinatown (1974),4.18,Roman Polanski
66789,Screamers: The Hunting (2009),2.42,Sheldon Wilson
1253,"Day the Earth Stood Still,3.89,Robert Wise
1254,"Treasure of the Sierra Madre,4.16,John Huston
1255,Bad Taste (1987),3.47,Peter Jackson
1256,Duck Soup (1933),4.11,Leo McCarey
1257,Better Off Dead... (1985),3.83,Savage Steve Holland
1258,"Shining,4.01,Stanley Kubrick
1259,Stand by Me (1986),4.00,Rob Reiner
1260,M (1931),4.19,Fritz Lang
1261,Evil Dead II (Dead by Dawn) (1987),3.74,Sam Raimi
1262,"Great Escape,4.13,Francisco Perez Dolz
1263,"Deer Hunter,3.98,Michael Cimino
66798,"Pink Panther 2,2.76,Harald Zwart
1264,Diva (1981),4.01,Jean-Jacques Beineix
66801,Crips and Bloods: Made in America (2008),3.26,Stacy Peralta
1265,Groundhog Day (1993),3.87,Harold Ramis
1266,Unforgiven (1992),3.98,Clint Eastwood
1267,"Manchurian Candidate,4.11,John Frankenheimer
1268,Pump Up the Volume (1990),3.50,Alan Moyle
1269,Arsenic and Old Lace (1944),4.03,Frank Capra
1270,Back to the Future (1985),3.91,Robert Zemeckis
1271,Fried Green Tomatoes (1991),3.73,Jon Avnet
1272,Patton (1970),4.01,Franklin J. Schaffner
1273,Down by Law (1986),4.03,Jim Jarmusch
66808,Far Cry (2008),1.96,Uwe Boll
1274,Akira (1988),3.86,Ruairi Robinson
66811,Glenn Killing på Berns (1993),4.00,
1275,Highlander (1986),3.60,Russell Mulcahy
1276,Cool Hand Luke (1967),4.09,Stuart Rosenberg
66813,"English Surgeon,3.82,Geoffrey Smith
1277,Cyrano de Bergerac (1990),3.79,Jean-Paul Rappeneau
1278,Young Frankenstein (1974),3.97,Mel Brooks
66815,"Hell of a Day,3.00,
1279,Night on Earth (1991),3.83,Jim Jarmusch
1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),4.14,Yimou Zhang
1281,"Great Dictator,4.07,Charles Chaplin
1282,Fantasia (1940),3.70,Deems Taylor
1283,High Noon (1952),4.07,Fred Zinnemann
1284,"Big Sleep,4.19,Howard Hawks
1285,Heathers (1989),3.73,Michael Lehmann
1286,Somewhere in Time (1980),3.56,Jeannot Szwarc
1287,Ben-Hur (1959),3.80,William Wyler
1288,This Is Spinal Tap (1984),4.03,Rob Reiner
1289,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),3.94,Godfrey Reggio
1290,Some Kind of Wonderful (1987),3.54,Howard Deutch
1291,Indiana Jones and the Last Crusade (1989),4.01,Steven Spielberg
1292,Being There (1979),3.97,Hal Ashby
1293,Gandhi (1982),3.98,Richard Attenborough
1295,"Unbearable Lightness of Being,3.68,Philip Kaufman
1296,"Room with a View,3.90,James Ivory
1297,Real Genius (1985),3.65,Martha Coolidge
1298,Pink Floyd: The Wall (1982),3.70,Alan Parker
1299,"Killing Fields,4.07,Craig T. Nelson
1300,My Life as a Dog (Mitt liv som hund) (1985),4.03,Lasse Hallstrom
1301,Forbidden Planet (1956),3.86,Fred M. Wilcox
1302,Field of Dreams (1989),3.63,Phil Alden Robinson
1303,"Man Who Would Be King,4.04,John Huston
1304,Butch Cassidy and the Sundance Kid (1969),4.04,George Roy Hill
1305,"Paris,3.87,Wim Wenders
1306,Until the End of the World (Bis ans Ende der Welt) (1991),3.58,Wim Wenders
1307,When Harry Met Sally... (1989),3.84,Rob Reiner
1308,I Shot a Man in Vegas (1995),2.80,Keoni Waxman
1309,Parallel Sons (1995),3.17,John G Young
1310,Hype! (1996),3.53,Doug Pray
1311,Santa with Muscles (1996),2.62,John Murlowski
1312,Female Perversions (1996),3.54,Susan Streitfeld
1313,Mad Dog Time (1996),2.84,Larry Bishop
1314,Breathing Room (1996),3.21,
1315,Paris Was a Woman (1995),3.35,Greta Schiller
1316,Anna (1996),3.41,
1317,I'm Not Rappaport (1996),3.20,Herb Gardner
1318,Blue Juice (1995),3.36,Carl Prechezer
1319,Kids of Survival (1996),3.09,
66854,Shara (Sharasojyu) (2003),3.78,Naomi Kawase
1320,Alien³ (a.k.a. Alien 3) (1992),3.09,David Fincher
66857,Marius (1931),3.58,Alexander Korda
1321,"American Werewolf in London,3.50,John Landis
1322,Amityville 1992: It's About Time (1992),1.74,Tony Randel
66859,"Adventures of Food Boy,3.00,Dane Cannon
1323,Amityville 3-D (1983),1.62,William Wales
1324,Amityville: Dollhouse (1996),1.80,Steve White
66861,César (1936),3.50,Marcel Pagnol
1325,Amityville: A New Generation (1993),1.70,John Murlowski
1326,Amityville II: The Possession (1982),1.97,Damiano Damiani
1327,"Amityville Horror,2.93,Stuart Rosenberg
1328,"Amityville Curse,1.88,Tom Berry
1329,Blood for Dracula (Andy Warhol's Dracula) (1974),2.74,Paul Morrissey
1330,April Fool's Day (1986),2.81,Paul Geiger
1331,Audrey Rose (1977),2.92,Robert Wise
66866,They Wait (2007),3.25,Ernie Barbarash
1332,"Believers,3.01,John Schlesinger
1333,"Birds,3.74,Alfred Hitchcock
66868,"Rebel,2.70,Truc 'Charlie' Nguyen
1334,"Blob,3.11,Russell S. Doughten Jr.
1335,Blood Beach (1981),1.94,Jeffrey Bloom
66870,Everlasting Moments (Maria Larssons eviga ögonblick) (2008),3.69,Jan Troell
1336,Body Parts (1991),2.30,Eric Red
1337,"Body Snatcher,3.47,Robert Wise
1339,Dracula (Bram Stoker's Dracula) (1992),3.42,Francis Ford Coppola
1340,"Bride of Frankenstein,3.73,James Whale
1341,Burnt Offerings (1976),2.86,Dan Curtis
1342,Candyman (1992),2.95,Bernard Rose
1343,Cape Fear (1991),3.54,Martin Scorsese
1344,Cape Fear (1962),3.78,J. Lee Thompson
1345,Carrie (1976),3.42,Brian DePalma
1346,Cat People (1982),3.01,Paul Schrader
1347,"Nightmare on Elm Street,3.23,Wes Craven
1348,"Nosferatu (Nosferatu,3.89,F.W. Murnau
1349,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice) (1986),3.20,Augusto Caminito
1350,"Omen,3.54,Richard Donner
1351,Blood and Wine (Blood & Wine) (1996),3.03,Bob Rafelson
1352,Albino Alligator (1996),3.03,Kevin Spacey
1353,"Mirror Has Two Faces,3.19,Barbara Streisand
1354,Breaking the Waves (1996),3.84,Lars von Trier
1355,Nightwatch (1997),3.10,Ole Bornedal
1356,Star Trek: First Contact (1996),3.67,Jonathan Frakes
1357,Shine (1996),3.86,Scott Hicks
1358,Sling Blade (1996),3.99,Billy Bob Thornton
1359,Jingle All the Way (1996),2.60,Brian Levant
1360,Identification of a Woman (Identificazione di una donna) (1982),3.27,Michelangelo Antonioni
66897,Expecting Love (Mala wielka milosc) (2008),2.38,Lukasz Karwowski
1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),4.07,Joe Berlinger
1363,"Preacher's Wife,3.12,Penny Marshall
1364,Zero Kelvin (Kjærlighetens kjøtere) (1995),3.47,Hans Petter Moland
1365,Ridicule (1996),3.85,Patrice Leconte
66900,Attack Force (2006),1.40,Michael Keusch
1366,"Crucible,3.41,Nicholas Hytner
1367,101 Dalmatians (1996),3.10,Stephen Herek
66902,Shadow Man (2006),2.09,Michael Keusch
1368,"Forbidden Christ,3.32,Curzio Malaparte
1369,I Can't Sleep (J'ai pas sommeil) (1994),3.37,Claire Denis
66904,Playing for Keeps (1986),2.50,Harvey Weinstein
1370,Die Hard 2 (1990),3.42,Renny Harlin
1371,Star Trek: The Motion Picture (1979),3.08,Robert Wise
1372,Star Trek VI: The Undiscovered Country (1991),3.29,Nicholas Meyer
1373,Star Trek V: The Final Frontier (1989),2.86,William Shatner
1374,Star Trek II: The Wrath of Khan (1982),3.68,Nicholas Meyer
1375,Star Trek III: The Search for Spock (1984),3.23,Leonard Nimoy
1376,Star Trek IV: The Voyage Home (1986),3.46,Leonard Nimoy
1377,Batman Returns (1992),3.09,Tim Burton
1378,Young Guns (1988),3.27,Christopher Cain
66915,Rock-A-Doodle (1991),3.10,Don Bluth
1379,Young Guns II (1990),2.97,Geoff Murphy
1380,Grease (1978),3.31,Randal Kleiser
1381,Grease 2 (1982),1.99,Patricia Birch
1382,Marked for Death (1990),2.74,Dwight H. Little
1383,Adrenalin: Fear the Rush (1996),2.31,Albert Pyun
1384,"Substance of Fire,3.57,Daniel J. Sullivan
1385,Under Siege (1992),3.11,Andy Romano
1386,Terror in a Texas Town (1958),2.65,Joseph H. Lewis
1387,Jaws (1975),3.80,Steven Spielberg
1388,Jaws 2 (1978),2.61,Jeannot Szwarc
1389,Jaws 3-D (1983),1.89,Joe Alves
1390,My Fellow Americans (1996),3.27,Bradley Whitford
66927,Tokyo.Sora (2002),4.00,Hiroshi Ishikawa
1391,Mars Attacks! (1996),2.96,Tim Burton
1392,Citizen Ruth (1996),3.63,Alexander Payne
1393,Jerry Maguire (1996),3.63,Cameron Crowe
1394,Raising Arizona (1987),3.88,Joel Coen
1395,Tin Men (1987),3.37,Barry Levinson
1396,Sneakers (1992),3.63,Phil Alden Robinson
1397,Bastard Out of Carolina (1996),3.57,Anjelica Huston
66932,Dead Silent (1999),1.75,
1398,In Love and War (1996),3.15,Richard Attenborough
66934,Dr. Horrible's Sing-Along Blog (2008),4.07,
1399,Marvin's Room (1996),3.42,Jerry Zaks
1400,Somebody is Waiting (1996),3.41,Martin Donovan
1401,Ghosts of Mississippi (1996),3.54,Rob Reiner
1404,Night Falls on Manhattan (1996),3.23,Sidney Lumet
66941,Today You Die (2005),1.50,Don E. FauntLeRoy
1405,Beavis and Butt-Head Do America (1996),2.93,Mike Judge
1406,"Judgement in Stone,3.60,Claude Chabrol
66943,"Cottage,2.90,Paul Andrew Williams
1407,Scream (1996),3.28,Wes Craven
1408,"Last of the Mohicans,3.71,Michael Mann
1409,Michael (1996),3.06,Nora Ephron
